"Note","Description","key"
"5,0","un pur chef d’œuvre  après le prestige & la saga batman le réalisateur christopher nolan nous livre une nouvelle pépite cinématographique comme il en a le secret  grace a une réalisation qui touche la perfection en passant par une bo compose par hans zimmer qui procure des frissons tout le long du film  ensuite les effets spéciaux sont absolument impressionnants ainsi que les séquences dactions qui se révèle démentiels comme la fameuse scène qui se passe dans le couloir en apesanteur qui s’avère être un moment danthologie jamais vu au cinéma au service dune histoire qui se montre a la fois innovateur et complexe en étant passionnante et réservant des twists complètement surprenants  et enfin les personnages très fouillé et magnifiquement composé par une distribution magistrale rempli de comédiens et comédiennes trés talentueux compose de léonardo dicarpiomarion cottillardellen pagetom hardyjoseph gordon levittcillian murphyken watanabe et michael caine qui livrent une très bonne performance  en conclusion inception est sans conteste lun des films de sf les plus brillants et réussi des ces dernières années tout en arrivant combiner habilement en un seul film  espionnagescience fictiondrame et action avec classe et qui prouve que christopher nolan est un réalisateur révolutionnaire qui entre définitivement au rang des meilleurs cinéastes dhollywood  un véritable bijou a voir ou revoir",10
"5,0","entre deux batman le génial christopher nolan se permet un petit détour vers la science fiction  un petit détour qui donnera lieu à rien de moins quun chef doeuvre  et pourtant cétait un pari franchement risqué mais les frères nolan ont osé et ça a payé  en effet raconter une histoire de rêves imbriqués dans dautres rêves nest pas chose aisée  on peut rapidement perde le spectateur dans ce labyrinthe mental  et chose exceptionnelle ce nest jamais le cas  la scénario est écrit dune telle manière que même si à une ou deux reprises on ne sait plus trop à quel niveau du rêve on se trouve on se rattrape en peu de temps et cela ne nous empêche aucunement de suivre parfaitement le film  cest un véritable exploit que dêtre parvenu à raconter telle histoire tout en restant constamment cohérent et facile à suivre  ce scénario dune originalité folle est accompagné dune mise en scène tout aussi inventive  christopher nolan est un génie dans ce domaine et il le prouve une nouvelle fois avec des scènes surnaturelles de réalisme  il fait une nouvelle fois appel à hans zimmer pour la musique du film et sans surprise le compositeur assure une excellente bo le thème principal time est une pépite  le casting et quant à lui prestigieux  di caprio hardy gordon levitt caine    et la fin est magistrale  inception est excellent film de sf il fait sans aucun doute parti des meilleurs ",11
"5,0","film bouleversant et impressionnant qui vous prend du début à la fin vu et revu tellement de fois que je qualifie ce film sen mal de chef doeuvre un sujet original  les rêves  mais la complexité commence avec un rêve dans un autre rêve appelé linceptioncest dans les rèves quune équipe tenu par dicaprio travaille dans le but dinsérer une idée dans le cerveau dun sujet cest autour de se sujet que lhistoire se tourne    lhistoire est passionnante très prenante et très complète  un film qui demande de la réflexion sen en abusé juste comme il faut une pépite comme le cinéma en fait malheureusement que trop rarement le scénario est vraiment le point fort du film mais ou est aller chercher nolan une histoire pareil scénario époustouflant et réfléchi dune efficacité sen faille et dune originalité surprenante limite on pourrais croire que cest histoire est vraie tant la logique du film et bien tisser et cohérente  ya pas à dire cest vraiment la plus grande qualité de nolan que de mêler le fantastique au réalisme comme il a pu le faire avec dautre filmla trilogie the dark knightinterstellar   vraiment je suis impressionner par tant de génie    et que dire de la mise en scène qui est de tout beauté la qualité graphique de ce film est vraiment soignée et magnifique les constructions des rèves sont de toute beauté  un film qui fait réfléchir mais aussi réver  tout ceci accompagné par la superbe bo de zimmer  nolan à vraiment de la chance que zimmer le suive dans ces projets  leurs duo est dune efficacité redoutable le choix des acteurs est vraiment soigner et plaisantdailleurs je suis impressionner de voir avec quel facilité christopher nolan arrive à gérer la multitude de personnages présente léonardo dicaprio est une fois de plus un génieun très grand acteur amenant tellement à travers son jeu que je comprendrais jamais le fait quil nai jamais eu doscar pour son talentsurtout quand on voit lensemble de ses personnages choisi    de la part des acteurs tout est impeccable dans lensemble de leurs jeumention spéciale à cotillard que jai trouvé hypnotisante jeu dacteur parfaitscénario subtil et efficace creusant toujours plus loin   réalisation irréprochable et effets visuels vraiment  impressionnantsvraiment tout y est dailleurs jai beaucoup apprécié linsertion de je ne regrette rien dans ce film sachant que marion cotillard incarne la vedette de cette chanson dans la môme la fin de ce long métrage est vraiment subtile et astucieuse à un point ou elle impose au spectateur de repenser encore un moment à ce quil vient de voir   conclusion surement lun des meilleurs films de lhistoire du cinéma pour moi le meilleur scénario de ces dernières années un bijoux pour les amateurs de scénarios originaux et les amateurs de réflexion ",12
"3,5","nolan nous montre quil est un très bon architecte tant inception brille par sa construction  partant de lidée que dans le futur il existe des méthodes permettant de pénétrer et dinfluencer linconscient dune victime lorsquelle rêve on va suivre dom cobb espion industriel qui pénètre au plus profond du subconscient de quelquun pour y tirer des secrets  aujourdhui vulnérable séparé de ses enfants meurtris par la mort de sa femme et son interdiction de séjourner aux usa il va accepter une mission très délicate qui consiste à implanter une idée au cœur du subconscient il va réunir une équipe dexpert pour cette mission où sil réussit il pourra retourner dans son pays et retrouver sa famille  a limage de son histoire inception est structuré sur plusieurs niveau outre une nouvelle idée dans le domaine de la science fiction bien que lon sent certaines influences ainsi quune exploration et une étude psychique cest aussi un intelligent thriller et un triste drame  cest un film complexe quil nous livre dont chaque scène est propice à une signification et réflexion et cest pour ca aussi quon aime ce genre de films même si ce nest pas forcément du premier coup que lon décèle tout ce qui se cache derrière qui sont bien trop rare par les temps qui courent  la mise en scène est superbe tout comme le visuel du film que ce soit par le monde inventé ou les effets spéciaux qui sont bluffant et qui font authentique ce qui est aussi assez rare pour le souligner  les interprétations sont dans lensemble impeccables que ce soit dicaprio dans le rôle principal ou ellen page en second rôle  nolan confirme au fur et à mesure de ses films lattente placé en lui cest un très bon film quil nous livre avec inception et lun des rares blockbusters moderne à allier divertissement on est captivé durant les 140 minutes intelligence et inventivité  impressionnant et imprévisible ",13
"5,0","dans la catégorie des blockbusters on a rarement vu mieux  la mise en scène a beau manquer de perfection notamment dans certaines scènes daction parfois un peu trop panpan cest tout bonnement une réussite une pure bouffée dair frais et dadrénaline  un scénario complexe au premier visionnage qui devient finalement très compréhensible par la suite mais toujours aussi original et malin servi par des effets spéciaux ahurissants  distorsion du temps réveils à la chaine projections armées à la recherche des intrus du rêve façon jeu vidéo     la musique toujours géniale et quelque peu envahissante de hans zimmer séparée entre les thèmes dramatiques au service dune histoire damour renversante et les thèmes déments de la folie des rêves donne un réel souffle épique au film  un voyage dans les méandres de lesprit vraiment rempli à ras bord qui vous fera regarder de plus près vos rêves  même si les règles imposées par nolan sont un peu arbitraires et relèvent du pur fantasme quel fantasme  niveau acteur tout le monde y trouve son compte  chacun remplit sa part du contrat et chaque membre de léquipe arrive à donner un charme et une nuance à son personnage  même marion cotillard que je naime pas cest pas un secret a réussi à concilier son jeu dacteur fantomatique avec son personnage dans le rôle dune ombre menaçante et envahissante  le début est énigmatique la préparation de la mission est poignante et passé cet instant on na même plus le temps de respirer  lexcellent montage de la dernière heure de film couplé à la musique et à la tension progressive confère au film un rythme dantesque  renversant prenant perturbant et twist final énigmatique  chapeau nolan ",14
"4,5","cest laprès dark knight nolan nous livre une fois encore un divertissements dés plus passionnant  avec des scénes daction sublimes des effet spéciaux au top car visuellement cest assez époustouflant le scénar est plutôt malin car ces cambriolages mentaux sont vraiment passionnant  bref un spectacle total  et vivement the dark knight rises",0
"4,0","un très bon film de science fiction au scénario intelligent et complexe avec une parfaite mise en scène  les effets spéciaux sont convaincants et les acteurs sont tous très bons dans leurs rôles  un thriller très prenant qui nous entraîne aux frontières troubles du rêve et de la réalité  un beau voyage au cœur des songes ",1
"5,0","en 2010 christopher nolan réalisateur de films cultes et d’autres chefs d’œuvre comme memento batman begins le prestige et surtout de the dark knight le chevalier noir le meilleur film de super héros du cinéma avait hollywood à ses pieds et s’offrait une petite pose après ses batman et le prestige avec son ambitieux inception  petite pose  laissez moi rire  inception n’a rien d’une pose dans la filmographie du réalisateur c’est un de ses films les plus complexes et brillants qui fait partis de l’apogée de sa carrière avec la trilogie the dark knight  inception c’est simple c’est une leçon de cinéma  dom cobb est un voleur expérimenté le meilleur qui soit dans l’art périlleux de l’extraction  sa spécialité consiste à s’approprier les secrets les plus précieux qu’un individus puisse avoir enfouis au plus profond de son subconscient pendant qu’il rêve et que son esprit est le plus vulnérable  très rechercher dans le milieu trouble de l’espionnage industriel cobb reste pourtant un fugitif rechercher dans le monde entier et qui a perdu tout ce qu’il avait  mais une ultime mission pourrait lui permettre de retrouver sa vie d’avant  il doit tenter l’impossible  l’inception  au lieu de subtiliser un rêve cobb et son équipe de spécialistes doivent faire l’inverse  implanter dans l’esprit du sujet une simple idée  s’ils y parviennent il pourrait s’agir du crime parfait  sorti un 2010 inception fut un énorme succès critique et public avec près de 5 millions d’entrées en france et plus de 800 millions de dollars de rapportés dans le monde  un énorme carton qui vaut à christopher nolan la casquette de réalisateur de films à succès mais de films ambitieux intelligents et originaux  inception fait partis de ceux là tout comme les batman  avec cette histoire de rêves emboîtés dans d’autres rêves tout en y mêlant une histoire d’espionnage industriel christopher nolan fait de son film un véritable trip prise de tête tellement fascinant que même si on ne comprend pas on reste prit dedans tant c’est brillamment réalisé dirigé rythmé et raconté  vous l’aurez compris inception est un film très compliqué quand on le voit la première fois mais au fur et à mesure de plusieurs visionnages on commence à comprendre de mieux en mieux ce thriller de science fiction démentiel  en clair le film raconte l’histoire d’un homme qui pour récupérer ses enfants doit accomplir quelque chose de soit disant impossible l’inception une technique consistant à implanter une idée dans le subconscient d’un rêveur afin de modifier ses intentions  dans le film le personnage de saito un homme d’affaire puissant demande à cobb et son équipe d’implanter une idée dans l’esprit de robert fisher le fils du puissant homme d’affaire maurice fisher très malade et sur le point de mourir  l’objectif de l’opération est de pousser fisher à démanteler l’empire militaro industriel de son père car il pourrait éclipser définitivement la société de saito des marchés  s’ils réussissent saito pourrait permettre d’annuler les charges qui pèse sur cobb et celui ci pourrait enfin retourner chez lui et retrouver ses enfants  a priori inception n’est rien d’autre qu’un simple film de concurrence entre deux hommes d’affaire puissants qui ont fait fortune dans l’industrie et que l’un d’eux tente d’éliminer l’autre en quelque sorte  mais là où le film est beaucoup plus complexe c’est avec ce thème passionnant du monde du rêve avec l’inception l’implantation d’une idée le subconscient des rêveurs les extractions les limbes les rêves emboîtés dans d’autres… bref tous ces éléments font la complexité du film mais si vous vous accrochez bien vous pourrez saisir le scénario signé christopher nolan qui est aussi brillant à la réalisation que dans l’écriture d’un script de ce film impressionnant et surtout passionnant  inception c’est un film qu’on ne voit pas tout les jours au cinéma des films comme ça avec une intrigue pareille il y en a un tous les dix ans au cinéma voire même plus  mais malgré sa complexité démentielle le film a eu un énorme succès et est aujourd’hui un chef d’œuvre à cinq oscars dont celui des meilleurs effets visuels qui sont il faut le dire époustouflants  la scène où paris se replie sur lui même la destruction de la base dans les montagnes la course poursuite à ski avec tom hardy qui aurait été inspirée par celle d’au service secret de sa majesté les effets visuels des mondes créer par les architectes les ralentis géniaux la scène où gordon levitt se bat en apesanteur est absolument terrible car magistralement filmée  bref aux niveaux des effets spéciaux de la mise en scène et du scénario le film gère à 100 %  et il y a également la musique composée par le grand hans zimmer les trois batman gladiator la saga pirates des caraïbes et j’en passe  cette bande originale culte contribue autant à la réussite du film qu’à son ambiance si particulière qui est prenante dés le début et amplifie la noirceur de l’intrigue et des personnages  la bo d’inception vaut à elle seule le détour pour ce film des morceaux musicaux déments avec des sons puissants et impressionnants  et il est aussi impensable d’oublier de parler du casting de ce film car il faut dire que christopher nolan a su rassembler un casting quatre étoiles et comme à son habitude d’ailleurs car regardez les castings de ses précédents films et notamment celui de the dark knight le chevalier noir  dans inception on retrouve leonardo dicaprio joseph gordon levitt marion cotillard ellen page tom hardy cillian murphy ken watanabe michael caine tom berenger dileep rao lukas haas et pete postlethwaite tous dans des personnages complexes et attachants  un casting impressionnant pour un film tout aussi impressionnant et qui prouve que nolan sait diriger de grands acteurs et les rassembler dans un seul et même film ce qu’il fera une fois de plus deux ans plus tard dans the dark knight rises en faisant venir quelques un des acteurs d’inception comme marion cotillard joseph gordon levitt tom hardy cillian murphy et michael caine  christopher nolan sait s’entourer d’une équipe et possède de nombreux acteurs fétiches par exemple michael caine a joué dans six de ses films  christopher nolan possède un vrai talent et un vrai style dans sa mise en scène et dans l’écriture de ses scénarios et c’est à ça qu’on reconnaît le grands cinéastes tels que steven spielberg quentin tarantino alfred hitchcock ou encore stanley kubrick  inception est une claque scénaristique une claque visuelle une claque musicale et encore une claque en terme de jeux d’acteurs et de mise en scène  c’est la leçon de cinéma de l’année 2010 le film qui confirme qu’on a à faire à un grand cinéaste et tous les éléments qui constitue inception contribuent à faire de lui un chef d’œuvre du septième art et un film qui fera date dans son histoire  du très grand christopher nolan ",2
"4,0","assurément lun des meilleurs films de lannée 2010 à ce jour même si le niveau nest pas très haut nolan adepte de scenarii alambiqués et de mises en scène travaillées nous livre ici lune de ses œuvres les plus compliqués et difficiles à appréhender  le divertissement est au rendez vous le film malgré sa longueur parvient à nous captiver tout le long tant lunivers créé est riche et dévoile ses facettes au fur et à mesure de la progression dans lintrigue  les acteurs sont tous très bons on retrouve dailleurs ici avec plaisirs les acteurs fétiches de nolan murphy caine  di caprio confirme une nouvelle fois quil est lun des acteurs si ce nest lacteur les plus talentueux de sa génération  marion cotillard est excellente seul le choix discutable dinsérer une chanson dedith piaf montre quil est difficile pour elle de faire oublier son rôle dans la môme  seule ombre au tableau des acteurs ellen page que je trouve plus que médiocre  son jeu façon jeune rebelle qui se la joue minsupporte à chaque fois  elle ne varie jamais ses interprétations et lon pourrait facilement la remplacer par une autre  la bande son est moyenne un peu trop ressemblante à celle de the dark knight sans toutefois légaler et elle est donc tout sauf originale  attaquons nous maintenant au scénario pierre angulaire de inception  nolan une nouvelle fois confirme son talent à mettre en scène des intrigues où beaucoup dautres réalisateurs se seraient cassés les dents  malgré la complexité de lensemble on nest rarement perdu et le tout demeure facilement compréhensible  comme dans memento  cependant inception souffre de certaines incohérences  le sujet est tellement délicat à traiter que nolan a préféré passer sur les points dombres qui se soulèvent durant le film mais cela se ressent   on ressort du film avec limpression de navoir rien compris et même après réflexion certains aspects demeurent obscures  alors oui cest un film avec plusieurs degrés de lectures un film ouvert mais le souci vient du fait quaucune interprétation nest vraiment satisfaisante et ne dissipe toutes les incohérences  de plus là où the dark knight avait prouvé que nolan pouvait réaliser un film avec une profondeur de scénario abyssale inception ne propose pas cette richesse car nolan ne tranche jamais vraiment sa réflexion  chacun peut donc se faire sa propre opinion mais nest il pas du rôle du réalisateur davoir le courage de sa propre opinion et manière de penser sans toutefois limposer au spectateur inception souffre donc de quelques défauts à mon sens qui ne permettent pas de lui mettre une note aussi élevée que celle présente sur le site  des incohérences demeurent quelle que soit linterprétation du film et cela est dommageable  mais ne vous y trompez pas nolan signe encore une fois un grand film qui vous ravira par le divertissement proposé le suspens toujours présent et la richesse du scénario et de lunivers créé méritant largement 4 étoiles",3
"5,0","inception est un très grand film  les acteurs sont excellentsle scénario est innovant et intelligentles musiques sont magnifiques et les effets spéciaux sont incroyables  un film hors du commun",4
