Label,Text
2,"Lana knows her soda jerk job blindfolded and gets a bonus for never being late for work EVER! Big Deal! She's sick and tired of this joint and this crummy small town. She wants to get out and live a little. So, she leaves her job and goes off to New York, giving herself a makeover. But, not before, she got into a big huff with Robert Young, her boss and there's a matter of a ""slight"" misunderstanding. So, Bob goes off looking for her. But she is minding her business in New York, when trouble of another kind falls in her lap. It's more than you bargained for in this fun, non-stop quirky little film, costarring EugenePallette, Walter Brennan, and Dame May Witty. It's the kind of film you just don't want to end. So, forget everything and discover that life can be ""slightly dangerous,"" when you go looking for it."
0,"Made the unfortunate mistake of seeing this film in the Edinburgh film festival. It was well shot from the outset, but that's the last positive comment I have about the film. The acting was awful, I wonder if actual gogo girls were hired? But it was the plot that was truly laughable, in fact that it was laughable and not boring is the only reason I gave this 3/10.  ** Spoilers below **.  I just want to mention a few of the scenes that really got the audience laughing:.  Shoving the girl in the field: who would have thought that a kid shoving another kid could be acted so badly. A real eye-opener.  The getting on the bus scene: the girl is getting on the bus. But, according to the music, the world is ending.  The rolling under the clothes line: Wow, this one really demonstrates the plot writer's skills. In the room, followed by raw meat and skill selling. Why not just get her to perform all three 'sins' at once? At least then the film might have been slightly shorter.  The running down the stairs of the mall: watch as one of the girls takes to flight down the stairs pursued by a flesh eating Dau, no wait .. she *is* just walking quickly trying not to break her nails.  The running covered in blood: this is definitely my favourite scene, and a fitting end to the movie. A half marathon in red paint, completed by vaulting up stairs and over the bridge, only to be sent flying most unrealistically by a passing car. Not only this, but this suicide is undertaken by the most self obsessed girl in the film, now that's sticking to character for you.  I'd like to think that this film was created by a 16 year old and their mates. Sadly, having met the director at the presentation, this is not the case.  But, if you're in a sarcastic mood, and fancy a laugh with a few mates.. then still don't even think about it."
2,"The Alpha Video release seems to be fairly complete with the entire story intact (except for some splicy sections in what was probably a 16mm television print: The story does make sense in this version which has the entire explanation of why the criminals are on the ship in the first place and what the doctor's motivations are.  It is mysterious that the film runs about 63 minutes when the main IMDb description has it released at 57 minutes. That's probably incorrect and doesn't represent the original theatrical release, but rather some random individual's timing from a DVD or VHS tape that wasn't complete in the first place."
0,"There is a reason why this made for British TV movie only appeared at the 1977 Toronto Film Festival. It is dull, plodding and lacking in suspense.  Peter OÕTooleÕs diffident performance and the appearance of playwright Harold Pinter are the only elements of interest.  Note : Some British film fans will enjoy seeing Philip Jackson, best known for his portrayal of Inspector Japp in the Poirot television series, in one of his earliest roles...."
2,"I'm a fan of the gut-wrenching. I like horror & suspense. I like to be shocked. Some of my all-time favorite films I wouldn't dare show my closest of friends out of fear that they would think I was mentally unstable. This film, 'The Girl Next Door', I would choose to not show them simply because it's a bad film. I'm not sure what Greg Wilson tried to accomplish here, and the screenplay was poorly adapted from Ketchum's novel. This is torture-porn, lightly cloaked by a terrible excuse for a love story.  You've got two sisters, Meg & Susan Loughlin who are based on Sylvia & Jenny Likens, who were both horribly abused by one Gertrude Baniszewski - who is portrayed in the film as Ruth Chandler. In the true story of these crimes, the girls are abandoned by their circus traveling parents and left to live with Gertrude. In the film, the girls parents were killed and they end up with the same fate - to live with Ruth. Ruth is abusive and out of her mind and so are her accomplices who happen to also be her own children and some neighborhood kids. So as days pass, both girls are abused and tortured in terrible ways, with the older of the two getting the brunt of it. Ruth uses her basement as her chamber of horrors and calls what she does ""games"", for instance one ""game"" involves hanging & blindfolding Meg by her arms and stripping her nude. The boys take care of this for her, and Meg is left there over night. This type of thing makes up the majority if the second half of the film. Enter the ridiculous premise of one of the boys and Meg having feelings for each other. This is ridiculous because the boy continues to go over to the house time after time watching (and sometimes partaking) in said torturous activities. The police show up a few times. He tells his parents (in a round about way). Point is, the way the movie unfolds, these girls wouldve been saved, numerous times. It's almost laughable how we are supposed to believe none of these morons wouldve done something. What happened in real life is nowhere near what went down on film. The story has so many holes that you could throw it in a cave in France, take it out in a year, then slap a sticker on it ""100% Grade A Swiss Cheese"". It's terribly lame & incredibly unbelievable. I assume this side story of love was added to try and get some emotion from the audience so that the ending of the film could pull some tears out. The acting is plastic & any emotional investment, other than imaging that some form of this film actually happened, is completely impossible to reach. If you want to shock us, take what REALLY happened for once and just show that. Don't waste our time with preposterous side & back stories.  The only reason I didn't give this a 1 is because the last 12 minutes or so were actually intense. The rest of the film, however, is tripe. Skip it.  -iii"
2,"This is a movie that operates on more than one level, most of which is so subtle as to be nearly imperceptible --or at least seems to be imperceptible, dwarfed as everything else is by the manifest opprobrium of the main character.  Superficially what we all clearly see is a dark comedy about a despicable cad, Lenny, who is not just despicable, but despicable with oblivious aplomb, a role played masterfully by Charles Grodin, the aforementioned opprobrious main character and star of the movie. That factoid right there sets up a dynamic wherein people are either going to love this movie or hate this movie, based strictly on how Lenny strikes them. Some find humor in this guy, but others do not. Many are off-put. So off-put, in fact, that they can't get past it. In that way I would compare this 1972 film to a more contemporary one, Sideways (2004). In Sideways the main characters, Jack in particular (played by Thomas Haden Church), were so personally offensive, in word, in thought, and in deed, that many people intensely disliked the movie solely on that basis. People say to me, ""I hated Sideways."" I ask them why and they say, ""I couldn't stand Jack."" Some perspective is called for here. The viewer is supposed to dislike Jack in Sideways. That was intended. Maybe find him a little entertaining --or not-- but disliking him is the intended effect. Likewise here with Lenny in The Heartbreak Kid. We are supposed to dislike Lenny. We can laugh at him too if we want to, and he is funny, but disapproval and repulsion is the intent.  At the very least Lenny's actions make most people just plain awkwardly uncomfortable. The movie thereby evokes certain feelings and emotions in the viewer that aren't often evoked by movies, which, all by itself, makes this movie unique. As a work of art it makes it a success. And that's just the superficiality of it. There's more to it than just that.   Bruce Jay Friedman, the writer, and Neil Simon, the director, were actually making some much deeper ethnic observations and social commentary here. Commentary about Jews, about Jews and Jewish culture in modern America, about Gentiles too, and about how Jews and Gentiles interact in that modern America. All that. But mostly the observations and commentary was about the condition of young Jewish men (some of the very same turf that was being plowed by novelist Philip Roth in about the same era as this movie was released). Lenny, the character played by Grodin, is the almost stereo-typical young angst-filled Jewish male, desperate to break out from the box of tradition which was preordained for him, and who rubbishes his very Jewish bride on their honeymoon to lust after a very Gentile blond, Cybil Shepherd as Kelly Corcoran, all as a part of that angst condition. The Corcoran family, meanwhile, presenting themselves as the cold, aloof uptight WASPs.  Friedman had a lot to say here. Simon executed it well. Probably among Simon's best work, although not ever really recognized as such. A remake with Ben Stiller in the Lenny role is now in the works, soon in the offing. We'll have to see if they improve upon the original. I have my doubts that they can even come close. While not perfect, the original is a good movie. But perhaps the time for this story has passed. It was relevant, pertinent, and apropos for 1972. Not so sure about that in 2007. Not to disparage Ben Stiller, but the underlying themes of this movie wouldn't mean as much today as it did 35 years ago.  Grodin and Shepherd give good performances. Eddie Albert did too. I heard Cybil say in an interview not all that long ago that she always wished they'd done a sequel to it, and that she was still open to the possibility.   Very much worth seeing before one sees any remaking of it."
2,"When I saw this on Cable I presumed it was from the 1960s. The animation is a bit fuzzy, and the colors and the effects really look like 1960s animation. Surprised to discover that this animated movie was from 1994! Dom DeLuise does an excellent job as the main character of Stanley, the friendly troll. The other characters are done well, and a Troll in Central Park is a nice movie, but it is very boring for children who are older than 5 or 6. There are some standard plot elements and moments of discovery.The animation for the little girl is also very good. She is amazingly sweet and innocent If anything, ATICP is too sweet and it lacks any snap or sizzle. This film is like a big gob of melted marshmallows."
1,"What i like about you is one of those series you need to see but aren't sure you would see, the beginning is cool and its sucks you into the series just for fun, the second part i season 2-3 which are more stale, they come and go in what you want. what happens with many series is that they don't end with something special because the second part of the series always goes down into the drain, this one also somewhat did, the third part is the one to spoil and ruin the whole series, usually, but it doesn't, this ending is perfect for the series, it fits perfect, actually i was pretty angry about all these guys in Val's life, actually i wanted to end with Jeff in the end, but later on it changed, they chose to take Vic into the series after almost 3 seasons without him, and that was the biggest surprise and also what made the series go on top.  see it many times the series is actually very cool just don't expect the second part to be that good it isn't but the third part does what was needed and made the series to one that was worth the whole thing, i am happy to say i was glad and happy about the series and now i will go over to see two guys a girl and a pizza place, when i have seen the whole series i will be back..."
0,"What has Ireland ever done to film distributers that they seek to represent the country in such a pejorative way? This movie begins like a primer for film students on Irish cinematic cliches: unctuous priests, spitting before handshakes, town square cattle marts, cycling by country meadows to the backdrop of anodyne folk music. Quickly, however, it becomes apparent that the main theme of the film is the big Daddy-O of Irish Cliches - religous strife. It concerns a protestant woman who wants to decide where her Catholic-fathered child is educated, which would seem like a reasonable enough wish, though not to the '50's County Wexford villagers she has to live with. Rather than send them to a Catholic school, she decides to up and leave for Belfast, then Scotland, where a few more cliches are reguritated. While she's there, her father (who looks eerily like George Lucas) and family back home are subjected to a boycott, which turns very nasty. I'm not going to give away the ending, not because I think people should go see this movie, but because it's not very interesting. One of the problems with the film is the central character: we're supposed to sympathise with her but end up instead urging her to get a life. The villagers are presented as bigots whose prejudices should be stood up to, but traumatising your kids seems an innappropriate way to go about it. In addition, it takes on burdens which it staggers igniminiously under when it tries to draw analogies with the current Northern Ireland peace process: the woman is told by her lawyer that she ""must lay down preconditions"" for her return. The film is allegedly based on a true story but it's themes have been dealt with much more imaginatively, and with less recourse to hackneyed cliches, in the past."
2,"As directed masterfully by Clint Eastwood, ""Flags of Our Fathers"" plays both as a war film and a sensitive human drama. It begs comparison with Orson Welles' screen masterpiece ""Citizen Kane"" in the film's scope and its structure.  The ""rosebud"" of ""Flags of Our Fathers"" is one of the greatest icons of American history: the photograph of the raising of the flag on the tiny island of Iwo Jima and the strategic importance of the bloody combat for the acquisition of a landing strip to nearby Japan for American planes. The questions that the film carefully traces are (1) Who were the Marines pictured in the famous photograph? and (2) Was this famous tableau a ""staged"" scene, as opposed to a real event?  To answer these questions, the film moves episodically among three time-frames--the horrifying battle for the hill at the western tip of Iwo Jima; the time in which three servicemen are identified as the heroes in the picture and paraded ceremonially around America to promote the sale of war bonds; and the time of the death of John ""Doc"" Bradley, one of the alleged Iwo Jima flag-raisers, as his son seeks to learn the hidden truth about his dad, much like the newspaper reporter on the trail of ""rosebud"" in ""Citizen Kane.""  The outstanding pacing of the film by Eastwood is matched by the creative cinematography and the work of designers who accomplish these extraordinary tasks: the recreation of the Iwo Jima theater of war with location filming; a spectacular amphibious landing; grisly scenes of combat....plus detailed period scenes on the home-front. As a minor spoiler alert: please be sure to stay through the film's closing credits for a thoughtful montage of still photographs of the Battle of Iwo Jima, as well as the three protagonists, Bradley, Gagnon, and Hayes.  Among the fine ensemble cast, it is impossible to forget Adam Beach's sensitive and heartbreaking performance as Ira Hayes, a Native American who is simultaneously made into a war hero and marginalized due to his race. Hayes never felt comfortable in claiming status as a hero for his involvement in the flag-raising. In an emotionally-wrenching scene in a hotel room before a military superior, Beach's character breaks down and poignantly expresses the camaraderie and love felt for the fallen members of his battalion. Indeed for all three of the purported flag-raisers, the true heroes were those veterans who sacrificed their lives so that the flag could be raised on Iwo Jima. For this moving and important message, ""Flags of Our Fathers"" deserves to be placed not only among the greatest war films of all time, but also alongside classics like ""Citizen Kane."""
2,"The Matriarch (1995) is a pretty boring horror movie it has to be said!! Granny (Stella Stevens) gets a visit from a strange man who gives her this potion that he claims will give her eternal life, while this is going on Granny's Granddaughter Kelly (Shannon Whirry) is preparing dinner for all Granny's nasty, greedy, money seeking relatives.  All these nasty relatives want Granny dead and want all her money and fortune, after the dinner, granny decides to drink the potion but it ends up killing her...... temporarily!!! She then returns as some zombie type creature, killing off all the horrible relatives one by one, it ends up with a good vs evil battle, with granny having a climatic battle with her nice innocent granddaughter Kelly.  The Matriarch is quite a boring horror, there's blood and killings but not really any good gore and the film drags on, i give the movie 3/10 but thats only coz i like Stella Stevens and Shannon Whirry!"
2,"I believe this to be the worse movie I've seen in a long time! I can't speak for others out there who enjoy low budget movies but I do NOT. If you don't crack up when someone says something totally pointless or if you just don't like worthless humor then you'd do best in staying away from this movie. In this movie you'll see situations when they ""want"" you to laugh. But you simply won't. You'll only end up getting annoyed. I Rate this move 1 of 10. Awful is the word!  Don't waste your time, money or anything at all on this piece of ""film"". It is not worth it. You'll only get disappointed and angry that you wasted those 2hours on this.  Why would you want to waste anything on this movie when there are so many other, MUCH better, movies out there?"
2,"I first saw this movie visiting my uncle in Florida for the summer when I was 10 years old. I'm sure I watched a fair number of TV shows and movies that summer. I remember none of the shows or movies - save this one. Unfortunately, I saw this and have remembered it these nearly 30 years - but only because it was so God awful.  It started out weird enough and got my attention. A lady develops a tumor like bulge on her neck, a shrink's patients start freaking out, surgeons and doctors can't treat the woman but it just got weirder and weirder while the actors tried to keep a straight face. Over the top acting, bad special affects and a bizarre plot that just not translate to the screen make this watchable only if you also enjoy seeing car wrecks.  The finale was pure 1970's cheesy special effects that make the old Star Trek sets look high brow in comparison. I have been haunted by this horrible piece of film making for most of my life and fear that the memories will remain with me forever. If you have not yet experienced the crappiness that is the Manitou - save yourself - and rent anything else."
1,A beautiful postcard of New York. The thing I enjoyed most was being able to watch this with my whole family and not cringe waiting for a stupid toilet humor joke to appear. It never did. My teenagers liked it too. My son for Natasha Henstridge and my daughter for Michael Vartan. My wife and I commented that we could not remember the last time we could sit with the kids and ALL enjoy something. This film told a story that felt comfortable but not old or done. The ending came with a twist which we all liked too. If you are not just a cynical person and have are willing to let a story unfold then this is for you. As a guy it takes a lot to hold my interest when it comes to romantic movies and this one did. I recommend it and we need more of these films to watch.
0,"I enjoy quality crapness, and this ranks up there with some of the finest. the cg is out of this world, or at least pre-dates our world, and the insanity of a 6 foot bloke in a rat outfit chasing after people is laughably bad. I quite enjoyed some of this, but the acting is so goddamn awful, and even the obligatory nude scene doesn't really have any baps out in it. just a complete waste of time if ever i saw one. I don't know who wasted more time, me watching this, or the poor saps who got dragged into making it in the faint hope that this will launch their acting careers. I can assure you, it wont. However, on a brighter note, I have managed to successfully do the 6 degrees of Kevin Bacon from this movie, so I think it was almost worthwhile watching the 91 minutes of it."
2,"After the promising first minutes of the movie which look like they where trying to build a serious profile behind the killings, the movie drifts to a simple and disgusting presentation of violence.  A movie made for perverts...  The acting is decent, the storyline is not. The entire plot focused on the student trying to understand the psyche of the killer is only based loosely on the facts, all leading to build up more shots with violence. Even so it may have happened that way - why would you make a movie that features the most disgusting things a human has done? Looked to me like the director and writer failed to find a clear statement for the film and therefore went down the easy way by producing a flick that thrives on pain and the scandal behind it to get recognition at the box office."
2,"To this films' credit, I did manage to sit through the whole thing - and there are a couple of interesting ""ideas"" (discussed more lucidly on the back cover of the video than onscreen) The main problem though is that the acting, suspense, and production values are no better than those of a ""Brady Bunch"" episode - or any other TV show of that vintage. There were ""Stun Gun"" shoot-outs (Star Trek?), unbelievable resolutions to events, holes in the plot, and questions left unanswered like: ""Why were the girls being killed?"" It was watchable but  by no means a great movie: ""It's the story, of a plastic surgeon, who gave face lifts to some very lovely girls ....."""
